sep=,

File creation date: 20/02/2016
ANNEX II (CosIng 2),Last update: 23/06/2015
LIST OF SUBSTANCES PROHIBITED IN COSMETIC PRODUCTS

Substance identification

Reference Number,Chemical name / INN,CAS Number,EC Number,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
1195,"5 -Nitro-o-toluidine [1]5-Nitro-o-toluidine hydrochloride [2]","99-55-8 [1] / 51085-52-0 [2]","202-765-8 [1] / 256-960-8 [2]","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 2  ",21/10/2010
1196,"1 -(1-Naphthylmethyl)quinolinium chloride","65322-65-8","406-220-7","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 2  Mutagenic Cat. 2  ",15/10/2010
1197,"(R) -5-Bromo-3-(1-methyl-2-pyrrolidinylmethyl)-1H-indole","143322-57-0","422-390-5","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Reprotoxic Cat. 2  ",15/10/2010
1198,"Pymetrozine (ISO)","123312-89-0","613-202-00-4","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","(E)-4,5-dihydro-6-methyl-4-(3-pyridylmethyleneamino)1,2,4-triazin-3(2H)-one","","Carcinogenic Cat. 2  ",15/10/2010
1199,"Oxadiargyl (ISO)","39807-15-3","254-637-6","(EC) No 1223/2009","2005/80/EC","790/2009 ","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","3-[2,4-dichloro-5-(2-propynyloxy)phenyl]-5-(1,1-dimethylethyl)-1,3,4-oxadiazol-2(3H)-one; 5-tert-butyl-3-[2,4-dichloro-5-(prop-2-ynyloxy)phenyl]-1,3,4-oxadiazol-2(3H)-one","","Reprotoxic Cat. 1A  ",29/10/2010
1200,"Chlorotoluron; (3 -(3-Chloro-p-tolyl)-1,1-dimethylurea)","15545-48-9","239-592-2","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 2  Reprotoxic Cat. 2  ",15/10/2010
1201,"N -[2-(3-Acetyl-5-nitrothiophen-2-ylazo)-5-diethylaminophenyl]acetamide","777891-21-1","416-860-9","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Reprotoxic Cat. 2  ",15/10/2010
1202,"1,3 -Bis(vinylsulfonylacetamido)propane","93629-90-4","428-350-3","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Mutagenic Cat. 2  ",15/10/2010
1203,"p -Phenetidine (4-Ethoxyaniline)","156-43-4","205-855-5","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","P-PHENETIDINE","Mutagenic Cat. 2  ",21/10/2010
1204,"m -Phenylenediamine and its salts","108-45-2 ","203-584-7 ","(EC) No 1223/2009","2005/80/EC","1272/2008 ","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","M-PHENYLENEDIAMINE;(*)m-Phenylenediamine HCl; m-Phenylenediamine dihydrochloride;M-PHENYLENEDIAMINE SULFATE","Mutagenic Cat. 2  ",05/01/2011
1205,"Residues (coal tar), creosote oil distn., if it contains > 0.005 % w/w benzo[a]pyrene","92061-93-3","295-506-3","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 1B  ",15/10/2010
1206,"Creosote oil, acenaphthene fraction, wash oil, if it contains > 0.005 % w/w benzo[a]pyrene","90640-84-9","292-605-3","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 1B  ",15/10/2010
1207,"Creosote oil, if it contains > 0.005 % w/w benzo[a]pyrene","61789-28-4","263-047-8","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 1B  ",15/10/2010
1208,"Creosote, if it contains > 0.005 % w/w benzo[a]pyrene","8001-58-9","232-287-5","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 1B  ",15/10/2010
1209,"Creosote oil, high -boiling distillate, wash oil, if it contains > 0.005 % w/w benzo[a]pyrene","70321-79-8","274-565-9","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","Creosote oil, if it contains > 0.005 % w/w benzo[a]pyrene","Carcinogenic Cat. 1B  ",15/10/2010
1210,"Extract residues (coal), creosote oil acid, wash oil extract residue","122384-77-4","310-189-4","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 1B  ",15/10/2010
1211,"Creosote oil, low -boiling distillate, wash oil, if it contains > 0.005 % w/w benzo[a]pyrene","70321-80-1","274-566-4","(EC) No 1223/2009","2005/80/EC","","0888/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC;0913/05-Opinion concerning Request for Confirmation of the SCCNFP Opinion 0474/01 on Chemical Ingredients in Cosmetic Products Classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to Council Directive 67/548/EEC","","","Carcinogenic Cat. 1B  ",15/10/2010
1212,"6 -Methoxy-2,3-pyridinediamine and its HCl salt, when used as a substance in hair dye products","94166-62-8","303-358-9","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","6-METHOXY-2,3-PYRIDINEDIAMINE HCL","",15/10/2010
1213,"2,3 -Naphthalenediol, when used as a substance in hair dye products","92-44-4","202-156-7","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","2,3-NAPHTHALENEDIOL","",21/10/2010
1214,"2,4 -Diaminodiphenylamine, when used as a substance in hair dye products","136-17-4","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","2,4-DIAMINODIPHENYLAMINE","",15/10/2010
1215,"2,6 -Bis(2-hydroxyethoxy)-3,5-pyridinediamine and its HCl salt, when used as a substance in hair dye products","117907-42-3","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL","",15/10/2010
1216,"2 -Methoxymethyl-p-aminophenol and its HCl salt, when used as a substance in hair dye products","135043-65-1 / 29785-47-5 ","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","2-METHOXYMETHYL-P-AMINOPHENOL HCL","",15/10/2010
1217,"4,5 -Diamino-1-methylpyrazole and its HCl salt, when used as a substance in hair dye products","20055-01-0 / 21616-59-1","- / - ","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","4,5-DIAMINO-1-METHYLPYRAZOLE HCL","",15/10/2010
1218,"4,5 -Diamino-1-((4-chlorophenyl)methyl)-1H-pyrazole sulfate, when used as a substance in hair dye products","163183-00-4","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","4,5-DIAMINO-1-((4-CHLOROPHENYL)METHYL)-1H-PYRAZOLE-SULFATE","",15/10/2010
1219,"4 -Chloro-2-aminophenol, when used as a substance in hair dye products","95-85-2","202-458-9","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","4-CHLORO-2-AMINOPHENOL","",15/10/2010
1220,"4 -Hydroxyindole, when used as a substance in hair dye products","2380-94-1","219-177-2","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","4-HYDROXYINDOLE","",15/10/2010
1221,"4 -Methoxytoluene-2,5-diamine and its HCl salt, when used as a substance in hair dye products","56496-88-9","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","4-METHOXYTOLUENE-2,5-DIAMINE HCL","",15/10/2010
1222,"5 -Amino-4-fluoro-2-methylphenol sulfate, when used as a substance in hair dye products","163183-01-5","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","5-AMINO-4-FLUORO-2-METHYLPHENOL SULFATE","",15/10/2010
1223,"N,N -Diethyl-m-aminophenol, when used as a substance in hair dye products","91-68-9 / 68239-84-9","202-090-9 / 269-478-8","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","N,N-DIETHYL-M-AMINOPHENOL;N,N-DIETHYL-M-AMINOPHENOL SULFATE","",15/10/2010
1224,"N,N -Dimethyl-2,6-pyridinediamine and its HCl salt, when used as a substance in hair dye products","","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","N,N-DIMETHYL 2,6-PYRIDINEDIAMINE HCL","",15/10/2010
1225,"N -Cyclopentyl-m-aminophenol, when used as a substance in hair dye products","104903-49-3","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","N-CYCLOPENTYL-M-AMINOPHENOL","",15/10/2010
1226,"N -(2-Methoxyethyl)-p-phenylenediamine and its HCl salt, when used as a substance in hair dye products","72584-59-9 / 66566-48-1","276-723-2","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","N-METHOXYETHYL-P-PHENYLENEDIAMINE HCL","",21/10/2010
1227,"2,4 -Diamino-5-methylphenetol and its HCl salt, when used as a substance in hair dye products","113715-25-6","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0138/99-Opinion on 2,4-Diamino-5-methylphenetol HCl","","2,4-DIAMINO-5-METHYLPHENETOLE HCL","",15/10/2010
1228,"1,7 -Naphthalenediol, when used as a substance in hair dye products","575-38-2","209-383-0","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0128/99-Opinion on 1,7-Naphthalenediol","","1,7-NAPHTHALENEDIOL","",21/10/2010
1229,"3,4 -Diaminobenzoic acid, when used as a substance in hair dye products","619-05-6","210-577-2","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","3,4-DIAMINOBENZOIC ACID","",21/10/2010
1230,"2 -Aminomethyl-p-aminophenol and its HCl salts, when used as a substance in hair dye products","79352-72-0 ","","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","2-AMINOMETHYL-P-AMINOPHENOL HCL","",15/10/2010
1231,"Solvent Red 1 (CI 12150), when used as a substance in hair dye products","1229-55-6","214-968-9","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0495/01-Opinion concerning The Safety Review of the Use of certain Azo-Dyes in Cosmetic Products;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","SOLVENT RED 1","",15/10/2010
1232,"Acid Orange 24 (CI 20170), when used as a substance in hair dye products","1320-07-6","215-296-9","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0495/01-Opinion concerning The Safety Review of the Use of certain Azo-Dyes in Cosmetic Products;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","ACID ORANGE 24;CI 20170","",21/10/2010
1233,"Acid Red 73 (CI 27290), when used as a substance in hair dye products","5413-75-2","226-502-1","(EC) No 1223/2009","2006/65/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0495/01-Opinion concerning The Safety Review of the Use of certain Azo-Dyes in Cosmetic Products;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0807/04-Opinion concerning Hair Dyes without File submitted;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","ACID RED 73;CI 27290","",15/10/2010
1234,"PEG -3,2',2'-di-p-phenylenediamine","144644-13-3","","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0733/03-Opinion on PEG-3,2',2'-di-p-Phenylenediamine;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","PEG-3,2',2'-DI-P-PHENYLENEDIAMINE","",15/10/2010
1235,"6 -Nitro-o-toluidine","570-24-1","209-329-6","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0682/03-Opinion on 6-Nitro-o-Toluidine;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","6-NITRO-O-TOLUIDINE","",21/10/2010
1236,"HC Yellow No 11","73388-54-2","","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0681/03-Opinion on HC Yellow No. 11;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","HC YELLOW NO. 11","",21/10/2010
1237,"HC Orange No 3","81612-54-6","","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0676/03-Opinion on HC Orange No. 3;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","HC ORANGE NO. 3","",21/10/2010
1238,"HC Green No 1","52136-25-1","257-687-7","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0665/03-Opinion on HC Green No. 1;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","HC GREEN NO. 1","",21/10/2010
1239,"HC Red No 8 and its salts","13556-29-1 / 97404-14-3","- / 306-778-0","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0660/03-Opinion on HC Red No. 8;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","HC RED NO. 8","",21/10/2010
1240,"Tetrahydro -6-nitroquinoxaline and its salts","158006-54-3 / 41959-35-7 / 73855-45-5","- / - / -","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0503/01-Opinion on Tetrahydro-6-nitroquinoxaline;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","Quinoxaline, 1,2,3,4-tetrahydro-6-chloro-
","TETRAHYDRO-6-NITROQUINOXALINE","",15/10/2010
1241,"Disperse Red 15, except as impurity in Disperse Violet 1","116-85-8","204-163-0","(EC) No 1223/2009","2007/1/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0504/01-Disperse Violet 1 impurified with Disperse Red 15 Colipa No C64 & C61;0553/02-Assessment Strategies for Hair Dyes;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk","","DISPERSE RED 15","",15/10/2010
1242,"4 -Amino-3-fluorophenol","399-95-1","402-230-0","(EC) No 1223/2009","2007/1/EC","","0825/04-Opinion concerning Chemical Ingredients in Cosmetic Products classified as Carcinogenic, Mutagenic or Toxic to Reproduction according to the Chemicals Directive 67/548/EECC","","","Carcinogenic Cat. 1B  ",15/10/2010
