sep=,

File creation date: 20/02/2016
Annex III,Last update: 05/08/2015
LIST OF SUBSTANCES WHICH COSMETIC PRODUCTS MUST NOT CONTAIN EXCEPT SUBJECT TO THE RESTRICTIONS LAID DOWN

Substance identification,Restrictions

Reference number,Chemical name / INN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts",Maximum concentration in ready for use preparation,Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
239,"Hydroxypropyl bis(N -hydroxyethyl-p-phenylenediamine) and its tetrahydro-chloride","HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL","128729-30-6 -- 128729-28-2","416-320-2","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximumconcentration applied to hair must not exceed 0.4% (as tetrahydro -chloride)","Hair colourants can cause severe allergic reactions Read and follow instructions","(EC) No 344/2013","2009/159/EU","","0340/00-Opinion on Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine);0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1051/06-Opinion on Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine) HCl;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1244/09-Opinion on Hydroxypropyl bis(N-hydroxyethyl-p-phenylendediamine) HCl","","HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL","",25/07/2013
240,"4 -Nitro-1,2-phenylenediamine","4-NITRO-O-PHENYLENEDIAMINE ","99-56-9","202-766-3","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5%","To be printing on the label: Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","4-Nitro-1,2-phenylenediamine","","",09/09/2013
241,"5 -Amino-o-cresol ","4-AMINO-2-HYDROXYTOLUENE","2835-95-2","220-618-6","(a) Hair dye substance in oxidative hair dye products (b) Products intented for colouring eyelashes","","For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,5 % (b) For professional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions.Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.” (b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer:— has a rash on the face or sensitive, irritated and damaged scalp,— has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”","(EC) No 1197/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1001/06-Opinion on 4-Amino-2-hydroxytoluene;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties","5-Amino-o-cresol","4-AMINO-2-HYDROXYTOLUENE","",12/02/2014
242,"2,4 -Diaminophenoxyethanol, its hydrochloride and its sulphate","2,4-DIAMINOPHENOXYETHANOL HCL","70643-19-5 / 66422-95-5 / 70643-20-8","- / 266-357-1 / 274-713-2","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes","","For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2,0 % (as hydrochloride) (b) For professional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.” (b) To be printed on the label: The mixing ratio.“For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”","(EC) No 1197/2013","","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0979/06-Opinion on 2 ,4-Diaminophenoxyethanol HCl;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1367/10-Opinion on 2,4-Diaminophenoxyethanol dihydrochloride and sulfate","2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate","","",14/02/2014
243,"1,3 -benzenediol, 2-methyl","2-METHYLRESORCINOL","608-25-3","210-155-8","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 1.8 %","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.8%","Hair colourants can cause severe allergic reactions Read and follow instructions","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1002/06-Opinion on 2-Methylresorcinol;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1206/08-Opinion on 2-Methylresorcinol","1,3-benzenediol, 2-methyl","2-METHYLRESORCINOL","",25/07/2013
244,"4 -Amino-m-cresol ","4-AMINO-M-CRESOL","2835-99-6","220-621-2","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes","","For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,5 % b) For professional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.” (b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp,— has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”","(EC) No 1197/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0898/05-Opinion on 4-Amino-m-cresol;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties","4-Amino-m-cresol ","4-AMINO-M-CRESOL","",12/02/2014
245,"2 -[(3-Amino-4-methoxyphenyl)amino]ethanol and its sulphate","2-AMINO-4-HYDROXYETHYLAMINOANISOLE / 2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE","83763-47-7 / 83763-48-8","280-733-2 / 280-734-8","(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes","","For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,5 % (as sulphate)  — Do not use with nitrosating agents  — Maximum nitrosamine content: 50 μg /kg  — Keep in nitrite -free containers (b) For professsional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.” (b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.” ’","(EC) No 1197/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0958/05-Opinion on 2-Amino-4-hydroxyethylaminoanisole sulfate;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1172/08-Opinion on 2-Amino-4-hydroxyethylaminoanisole sulfate;1250/09-Updated Opinion on 2-Amino-4-hydroxyethylaminoanisole sulfate","2-[(3-Amino-4-methoxyphenyl)amino]ethanol and its sulphate","2-AMINO-4-HYDROXYETHYLAMINOANISOLE;2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE","",14/02/2014
246,"Hydroxyethyl -3,4-methylenedioxyaniline and its hydrochloide ","HYDROXYETHYL-3,4-METHYLENEDIOXYANILINE HCL","94158-14-2","303-085-5","Hair dye substance in oxidative hair dye products","","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5%  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","Hair colourants can use severe allergic reactions Read and folow instructions  ","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0951/05-Opinion on Hydroxyethyl-3,4-methylenedioxyaniline HCl;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1269/09-Opinion on Hydroxyethyl-3,4-methylenedioxyaniline HCl","Hydroxyethyl-3,4-methylenedioxyaniline and its hydrochloide ","HYDROXYETHYL-3,4-METHYLENEDIOXYANILINE HCL","",26/07/2013
247,"2,2' -[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol (see note 17)","HC BLUE NO 2","33229-34-4","251-410-3","Hair dye substance in non -oxidative hair dye products","2.8%"," - Do not use nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","Can cause allergic reaction","(EC) No 344/2013","2009/36/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1035/06-Opinion on HC Blue No. 2","2,2'-[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol","HC BLUE NO. 2","",26/07/2013
248,"4 -[(2-Hydroxyethyl)amino-3-nitrophenol","3-NITRO-P-HYDROXYETHYLAMINOPHENOL","65235-31-6","265-648-0","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 1.85 % ","(a) After mixing under oxidative conditions themaximum concentration applied to hair must not exceed 3.0% For (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","For (a) and (b): Hair colourants can use severe allergic reactions Read and follow intructions","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1036/06-Opinion on 3-Nitro-p-hydroxyethylaminophenol;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties","4-[(2-Hydroxyethyl)amino-3-nitrophenol","3-NITRO-P-HYDROXYETHYLAMINOPHENOL","",26/07/2013
249,"1 -(.beta.-Ureidoethyl)amino-4-nitrobenzene ","4-NITROPHENYL AMINOETHYLUREA ","27080-42-8","410-700-1","(a) Hair dye substance in oxidative hair dye products  (b) Hair dye substance in non -oxidative hair dye products  ","(b) 0.5% ","(a) After mixing under oxidative conditions the maximum concentratio applied to hair must not exceed 0.25% For (a) and (b):  - Do not use with notrosating agents - Maximum nitrosamine content: 50 microgram/Kg - ","For (a) and (b): Hair colourants can cause severe allergic reactions Read and follow instructions","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1037/06-Opinion on 4-Nitrophenyl aminoethylurea;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1369/10-Opinion on 4-Nitrophenyl aminoethylurea","1-(.beta.-Ureidoethyl)amino-4-nitrobenzene","4-NITROPHENYL AMINOETHYLUREA","",26/07/2013
250,"1 -Amino-2-nitro-4-(2', 3'-dihydroxypropyl)amino-5-chloro-benzene + 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene","HC RED NO 10+ HC RED NO 11","9556-89-9 - 95576-92-4","","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 2,0%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0% For (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/KG - Keep in nitrite-free containers","","658/2013/EU","","","","1-Amino-2-nitro-4-(2', 3'-dihydroxypropyl)amino-5-chloro-benzene + 1,4-bis-(2',3'-dihydroxypropyl) amino-2-nitro-5-chlorobenzene","","",09/09/2013
250,"1 -amino-2-nitro-4-(2',3'-dihydroxypropyl)amino-5-chlorobenzene and 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene and its salts","HC RED NO 10 + HC RED NO 11","95576-89-9 - 95576-92-4","- -","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 1.0% ","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1%","Hair colourants can cause severe allergic reactions Read and folow instructions","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1134/07-Opinion on HC Red No. 10 + HC Red No. 11","1-amino-2-nitro-4-(2',3'-dihydroxypropyl)amino-5-chlorobenzene and 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene and its salts","HC RED NO. 10;HC RED NO. 11","",26/07/2013
251,"2 -(4-Amino-3-nitroanilino)ethanol","HC RED NO 7 ","24905-87-1","246-521-9","Hair dye substance in non -oxidative hair dye products","1,0%"," - Do not use with nitrosating agents - Maximum notrosamine content: 50 micrograme/Kg - Keep in nitrite-free containers","Hair colorants can cause severe allergic reactions","658/2013/EU","","","","2-(4-Amino-3-nitroanilino)ethanol","","",09/09/2013
251,"Phenol, 2 -Chloro-6-(ethylamino)-4-nitro- and its salts","2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL","131657-78-8","411-440-1","(a) Oxidising colouring agents for hair dyeing (b) Non -oxidising colouring agents for hair dyeing ","(a) 3.0% (b) 3.0%","In combination with hydrogen peroxide the maximum use concentration upon application is 1.5% Not to be used after 31.12.2009","","(EC) No 1223/2009","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties;1090/07-Opinion on 2-Chloro-6-ethylamino-4-nitrophenol","","2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL","",18/10/2010
252,"2 -Amino-6-chloro-4-nitrophenol ","2-AMINO-6-CHLORO-4-NITROPHENOL","6358-09-4","228-762-1","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non - oxidative hair dye products ","(b) 2.0% ","(a) After mixing under oxidative conditions the maximum concentraion applied to hair must not exceed 2.0%","(a) To be printed on the label: The mixing ratio. ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past.  (b) ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past.’","(EC) No 344/2013","2009/159/EU","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;0948/05-Opinion on 2-Amino-6-chloro-4-nitrophenol;1054/06-Memorandum on Hair Dye Substances and their Skin Sensitising Properties","2-Amino-6-chloro-4-nitrophenol ","2-AMINO-6-CHLORO-4-NITROPHENOL","",08/07/2015
253,"2 -[bis(2-Hydroxyethyl)amino]-5- nitrophenol","HC YELLOW NO 4 ","59820-43-8","428-840-7","Hair dye substance in non -oxidative hair dye products","1,5%"," - Do not use with nitrosating agents - Maximum nitrosamine content: 50 micrograme/Kg - Keep in nitrite-free containers","","658/2013/EU","","","","2-[bis(2-Hydroxyethyl)amino]-5- nitrophenol","","",09/09/2013
253,"[4 -[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (CI 44045) and other salts","BASIC BLUE 26 (CI 44045) ","2580-56-5","219-943-6","(a) Oxidising colouring agents for hair dyeing (b) Non -oxidising colouring agents for hair dyeing","(a) 0.5% (b) 0.5%","I combination with hydrogen peroxide the maximum use concentration upon application is 0.25% Not to be used after 31.12.2009","","(EC) No 1223/2009","","","","","","",09/01/2011
254,"Disodium 5 -amino-4-hydroxy-3-(phenylazo)naphathlene-2,7-disulphonate (see note 17); (CI 17200) ","ACID RED 33 ","3567-66-6","222-656-9","Hair dye substance in non -oxidative hair dye products","0.5 %","","","(EC) No 344/2013","2009/36/EC","","0484/01-Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk;0553/02-Assessment Strategies for Hair Dyes;0635/03-Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products;0797/04-Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004;0930/05-Opinion on Personal Use of Hair Dyes and Cancer Risk;1102/07-Opinion on Acid Red No. 33","Disodium 5-amino-4-hydroxy-3-(phenylazo)naphathlene-2,7-disulphonate (CI 17200) ","ACID RED 33;CI 17200","",26/07/2013
255,"2 -[(2-Nitrophenyl)amino] ethanol","HC YELLOW NO 2 ","4926-55-0","225-555-8","(a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products ","(b) 1,0%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,75% For (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","To be printed on the label: Hair colorants can cause allergic reactions.","658/2013/EU","","","","2-[(2-Nitrophenyl)amino] ethano","","",09/09/2013
255,"Disodium 3 -[(2,4-dimethyl-5-sulphonatophenyl)azo]-4-hydroxynaphthalene-1-sulphonate (CI 14700) and other salts","PONCEAUX SX (CI 14700)","4548-53-2","224-909-9","Non -oxidising colouring agents for hair dyeing","2.0%","Not to be used after 31.12.2009","","(EC) No 1223/2009","","","","","","",09/01/2011
256," 4 -[(2-Nitrophenyl)amino]phenol"," HC ORANGE NO 1  ","54381-08-7","259-132-4","Hair day substance in non -oxidative hair dye products","1.0%","","","658/2013/EU","","",""," 4-[(2-Nitrophenyl)amino]phenol","","",09/09/2013
257,"Laureth -9","LAURETH-9","3055-99-0","221-284-4","(a) Leave -on products  (b) Rinse-off products","(a) 3,0 % (b) 4,0 %","","","(EU) No 483/2013","","","","Polidocanol","","",16/06/2015
258,"2 -Nitro-N1-phenyl-benzene-1,4- diamine","HC RED NO 1 ","2784-89-6","220-494-3","Hair dye substance in non -oxidative hair dye products","1,0%","","Hair colorants can cause severe allergic reactions.","658/2013/EU","","","","2-Nitro-N1-phenyl-benzene-1,4- diamine","","",09/09/2013
259,"1 -Methoxy-3-(β-aminoethyl) amino-4-nitrobenzene, hydrochloride","HC YELLOW NO 9 ","86419-69-4","415-480-1","Hair dye substance in non -oxidative hair dye products","0,5% (calculated as hydrochloride)"," - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","","658/2013/EU","","","","1-Methoxy-3-(β-aminoethyl) amino-4-nitrobenzene, hydrochloride","","",09/09/2013
260,"1 -(4’-Aminophenylazo)-2-methyl- 4-(bis-2-hydroxyethyl) aminobenzene","HC YELLOW NO 7 ","104226-21-3","146-420-6","Hair dye substance in oxidative hair dye products","0,25%","","","658/2013/EU","","","","1-(4’-Aminophenylazo)-2-methyl- 4-(bis-2-hydroxyethyl) aminobenzene","","",09/09/2013
261,"N -(2-Hydroxyethyl)-2-nitro-4- trifluormethyl-aniline","HC YELLOW NO 13","10442-83-8","443-760-2","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,5% For (a) and (b):  - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","","","To be printed on the label: Hair colorants can cause severe allergic reactions","658/2013/EU","","","","N-(2-Hydroxyethyl)-2-nitro-4- trifluormethyl-aniline","","",09/09/2013
262,"Benzenaminium, 3 -[(4,5-dihydro- 3-methyl-5-oxo-1-phenyl-1H- pyrazol-4-yl)azo]-N,N,Ntrimethyl-, chloride","BASIC YELLOW 57 ","68391-31-1","269-943-5","Hair dye substance in non -oxidative hair dye products","2,0%","","","658/2013/EU","","","","Benzenaminium, 3-[(4,5-dihydro- 3-methyl-5-oxo-1-phenyl-1H- pyrazol-4-yl)azo]-N,N,Ntrimethyl-, chloride","","",12/02/2014
263,"Ethanol, 2,2′ -[[4-[(4-aminophenyl) azo]phenyl]imino]bis-","DISPERSE BLACK 9 ","20721-50-0","243-98-5","Hair dye substance in non -oxidative hair dye products","0,3% (of the  mixture in the ratio 1:1 of 2,2'  -[4-(4-aminopheny-lazo)pheny-limino]diethanol and lignosulfate)","","","658/2013/EU","","","","Ethanol, 2,2′-[[4-[(4-aminophenyl) azo]phenyl]imino]bis-","","",09/09/2013
264,"9,10 -Anthracenedione, 1,4-bis [(2,3-dihydroxypropyl)amino]-","HC BLUE NO 14 ","99788-75-7","421-470-7","Hair dye substance in non -oxidative hair dye products","0,3%"," - Do not use with nitrosating agents - Maximum nitrosamine content: 50 microgram/Kg - Keep in nitrite-free containers","","658/2013/EU","","","","9,10-Anthracenedione, 1,4-bis [(2,3-dihydroxypropyl)amino]-","","",09/09/2013
265,"1,4 -Diaminoanthraquinone","DISPERSE VIOLET 1","128-95-0","204-922-6","Hair dye substance in non -oxidative hair dye products","0.5%","Impurity of Disperse Red 15 in Disperse Violet 1 for hair dye formulations should be < 1 % (w/w)","","(EC) No 1197/2013","","","","1,4-Diaminoanthraquinone","","",16/06/2014
266,"Ethanol, 2 -((4- amino-2-nitrophenyl)amino)-","HC RED NO 3","2871-01-4","220-701-7","a) Hair dye substance in oxidative hair dye products (b) Hair dye substance in non -oxidative hair dye products","(b) 3,0%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,45 % For (a) and (b):  — Do not use with nitrosating agents  — Maximum nitrosamine content: 50 μg/kg  — Keep in nitrite -free containers","For (a): To be printed on the label: The mixing ratio. For (a) and (b): “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black","(EC) No 1197/2013","","","","Ethanol, 2-((4- amino-2-nitrophenyl)amino)-","","",16/06/2014
267,"[7 -Hydroxy-8-[(2- methoxyphenyl)azo]-2-naphthyl]trimethylammonium chloride","BASIC RED 76","68391-30-0","269-941-4","Hair dye substance non -oxidative hair dye products","2,0 %","","","(EC) No 1197/2013","","","","[7-Hydroxy-8-[(2- methoxyphenyl)azo]-2-naphthyl]trimethylammonium chloride","","",17/06/2014
